Unnamed: 0,x1,x2,x3,x4,x5,x7,x8,x9,x10,x6_B,x6_C,x6_D,x6_E,x6_F,x6_Fx
1000,1.4955161791019247,0.2849861033443532,1.4760665878235022,-1.4293849630392272,1.0,-0.1781302787031242,1.1277186646379094,2.70962542874995,-0.09329066001247953,0,0,0,1,0,0
1001,0.2513022417673778,-0.09478490365450377,-0.6080434063233837,0.4178311780492754,0.0,-0.6960017394132565,-0.9311816660818266,-1.1272536298504998,-0.6334719541707456,0,0,0,0,1,0
1002,1.0796248840878766,-0.5108909837337134,-1.9050744788903407,1.789209297249889,0.0,1.1080232336232756,1.5817265502478919,-0.15992904968034447,1.2711054621803486,0,0,0,0,1,0
1003,0.9039837080201357,1.227434507077701,0.7442544811443293,-1.1954529185607092,1.0,-0.21242770569849484,-0.4819675799336027,-1.4044400601333904,-0.13658760439844564,0,0,0,0,0,0
1004,-1.3195837744921584,0.8160539720220561,-0.9977654162926364,1.0538366023152164,0.0,0.5128103016238693,2.038102105104231,-0.6835028657710658,-0.022813028277557046,0,0,0,0,0,0
1005,1.6132102067684297,-0.29075603551411155,-1.5778848571374877,1.8883774673263385,0.0,0.03317365190201608,0.35641386953163784,-0.24834024899724796,0.15980430927305717,0,0,0,0,1,0
1006,0.0045856479723953795,-1.4401257311091515,0.42822236464871616,-0.4757725340077347,0.0,0.8250589143472009,1.832852950405422,-0.6856449326048161,-0.9189466533397741,0,0,0,0,1,0
1007,-0.1569855391311837,1.1223606236125496,0.8838753978197438,-0.9967461166975407,1.0,1.833753413944753,-0.8796044761411355,-0.0429900925311273,-1.089004157882219,0,0,0,0,0,0
1008,-0.051359474235130056,0.3070154823512665,-1.4998806268012117,1.6336663090505437,0.0,0.47191072539753237,-0.8633377115041307,1.2175889041713734,-1.4542155883819519,0,0,0,0,0,1
1009,0.9696669088563028,0.5284708034450999,1.3634867166951763,-1.5220531110327467,1.0,-0.456932220615267,-0.7783573853748734,-0.7557764989413627,0.8198502651440814,0,0,1,0,0,0
