y,x1,x2,x3,x4,x5,x7,x8,x9,x10,x6_B,x6_C,x6_D,x6_E,x6_F,x6_Fx
1,-0.5737306439330054,-0.6486842656560418,1.007316215548736,-0.7498121858271604,0.0,-1.2440947863333978,0.328232296528348,-0.6798485833787622,0.22043658581057435,0,0,0,0,1,0
1,0.30158884452566503,-0.5165043861903648,1.1329502398832871,-1.284690503665277,0.0,-1.1606861740130374,-1.059289951611111,-2.063637955131599,0.5812986107708401,0,0,0,0,1,0
0,1.3466486365962693,-0.4724246330352191,1.338934278343182,-1.3623607792110493,0.0,0.762558983124406,-0.5404204007955684,-0.340160002174686,0.7402942718746105,0,0,0,0,1,0
0,-1.3129012434935148,0.06298503146711149,1.041571497833832,-1.2060003040045624,0.0,1.457943691226325,-0.19288076134934734,1.699599537174508,-1.4011926252132327,0,0,0,0,1,0
1,1.1300949199024313,-1.2670774798229203,1.0523336712373152,-0.922977787354896,0.0,-0.25346278419502605,-1.3528796670240135,-0.29586300111203956,0.9031649826645708,0,0,0,0,1,0
2,0.09653188737780106,-0.3911532066970834,-1.340093704321305,1.237081589548419,0.0,0.011464220553718549,0.3160856320302276,0.34816145886967803,2.1373129498633867,0,0,0,0,1,0
1,-0.2569246040860651,-1.169941696882248,1.7754162981778385,-1.4559208072373904,0.0,-0.4184510556057769,0.18150542388438612,-1.0920703825573452,0.47643502130374255,0,0,0,0,1,0
1,-0.0467644194978697,-0.49263362628685975,-0.3581519464167036,0.3598883809594831,0.0,-1.2425440008950586,-0.32422790207902247,0.27019474177948216,1.1415912540705682,0,0,0,0,1,0
0,-0.5271202001242962,-0.29122656376769285,0.08393441635912537,-0.06137698357303935,0.0,-0.9319557531501923,1.3623304203683297,-0.46623915536832466,-0.8608129923417215,0,0,0,0,1,0
1,-0.1039872567336318,0.28882696388750306,-1.1564898142913538,0.9450381097993105,0.0,0.22289955897194696,-0.03731583058175309,-0.007048551793553075,0.01324005156940127,0,0,0,0,1,0
0,-0.8231653828844335,-0.263298170547257,-1.1966821808889179,1.1129783897583423,0.0,0.0899284003778493,-0.5069868578424086,0.8499361129586758,0.6536987737852653,0,0,0,0,1,0
1,0.5644123066053491,0.3785996268579401,1.1093598365398107,-1.332458197892117,1.0,-0.5264914258750045,-1.3984372127877975,-0.5428774618291332,-1.8738142464290812,0,0,0,1,0,0
1,-0.5281132997824288,-0.5826042225898299,-0.0343438070776712,0.031187104664326976,0.0,-1.1066659888784238,-1.160489494074618,-1.053141958286395,0.816585301104557,0,0,0,0,1,0
0,1.5635213050051278,0.9078634613851146,-1.3800580001467286,1.3026418543420781,0.0,1.8945141318005767,0.7807182107708295,1.8478621490739273,1.6331768939547493,0,0,0,0,0,0
1,0.6698330973223099,-1.078070940586959,0.6774898306768798,-0.8125203835420663,0.0,-0.12227885366215337,-0.3007352860409911,-0.29225731511798864,-1.520496705959887,0,0,0,0,1,0
0,-0.10699555131848627,0.9563769211890041,-0.1446731559701946,0.0887478908980223,1.0,-1.9541180744698645,1.8417988505233027,-0.3391512091403395,-0.3386460929953025,0,0,0,0,0,0
1,1.1818738312749988,-0.8495767015106224,0.8603704742848145,-1.0836513051232803,0.0,-0.27687060386071993,-0.2181560968037695,-1.3298658732674893,1.2355651630930053,0,0,0,0,1,0
2,-0.18630579481943293,-0.09547049789234904,-1.5677152440780973,1.287585118799051,0.0,1.3772263522899886,0.07085595773484156,2.4173457930622892,-1.3061273756669296,0,0,0,0,1,0
1,-1.0159282011987718,1.6479658817266631,1.2217844224140002,-1.5400234374959865,1.0,-0.965565376573929,0.6255838520656686,0.19059997256454858,-0.07743611108744204,0,0,0,0,0,0
0,-2.158376999889906,1.5887541252993538,-1.5388876725868035,1.6610189172768681,1.0,0.8698552545510225,0.9857611592391007,-0.9079806358638528,-0.14578724259303208,0,0,0,0,0,0
0,-0.4959644166888635,1.3713639461781302,-1.8501537778526984,1.7803647310913946,1.0,0.8385891947717712,-0.18340817597581313,-0.9131993919078738,0.4745054047253135,0,0,0,0,0,0
1,-1.43403765507786,1.5779865520095473,0.6518286209795262,-0.6031180365843127,1.0,-0.45391744903864645,-0.5648572538126204,-0.3764365992117846,-1.0108169565205982,0,0,0,0,0,0
2,0.4692197174768936,-0.7219492886932091,0.11735586794057933,-0.4261284618636448,0.0,1.080476952178732,-0.43350255918711306,-0.017276314834849617,-0.5145258991603289,0,0,0,0,1,0
2,0.10684707579767559,-2.2436607492085203,-1.3698261001789012,1.4824330624002198,0.0,2.1660545757953327,0.24809301564491557,2.3089854402937093,-3.0237550114675917,0,0,0,0,1,0
0,-0.35116758697207257,0.1666724077146331,0.5923854485499712,-0.8175477937275374,0.0,1.0089739213401507,-1.4972950475433335,1.046940408101774,-0.5452336908572172,0,0,0,0,1,0
1,-1.5235905979725402,0.23450416077376385,0.8798950235597428,-0.5896218905913786,0.0,-0.18915734496488004,-1.3484228684830366,-0.8784010262478377,1.0108201895586582,0,0,0,1,0,0
1,-0.7958370200292494,-1.900830320594376,0.6214896215080863,-0.8179751677888104,0.0,-0.4939318858646722,-0.7118258511232116,-0.7701755121521656,-1.4932448259219067,0,0,0,0,1,0
0,0.056119255304153536,0.9814154877544552,0.16326755083908406,-0.015498486533322137,1.0,1.3412036232738582,-0.0069265076489555604,2.5309598600493484,-0.23738867221576138,0,0,0,0,0,0
1,-0.8265361225999934,0.4889870464117108,-0.28857547023465585,0.39605362693962554,0.0,-1.0695584054749352,0.1682861061780984,-0.7958547883037019,-2.0012401149874024,0,0,1,0,0,0
1,-0.12748819900856728,-0.7189308053720777,-0.10122399821615859,-0.14858163494422671,0.0,-0.3711416684442453,-0.46000162576634585,-1.0840449845068747,0.6792266521261242,0,0,0,0,1,0
0,-0.9676940032045026,0.27650561393731077,-0.11345038816725318,0.11826934350255563,0.0,-0.38457021858520035,0.39889143814241407,1.4743040908454017,-1.9683575505074482,0,0,0,0,1,0
